favor,type,name,text,extra
官网,spide,官网,https://golang.google.cn/,{}
官网,spide,下载,https://golang.google.cn/dl/,{}
官网,spide,文档,https://golang.google.cn/doc/,{}
下载,shell,下载,wget https://dl.google.com/go/go1.14.1.src.tar.gz,{}
启动流程,vimrc,程序入口,"TEXT _rt0_amd64(SB),NOSPLIT,$-8","{""buf"":""usr/go/src/runtime/asm_amd64.s"",""col"":""1"",""pwd"":""/home/shaoying/work/20200108-golang_story"",""row"":""14""}"
启动流程,vimrc,osinit,func osinit() {,"{""buf"":""./os_linux.go"",""col"":""1"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""297""}"
启动流程,vimrc,schedinit,func schedinit() {,"{""buf"":""./proc.go"",""col"":""4"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""532""}"
数据结构,vimrc,chan,type hchan struct {,"{""buf"":""chan.go"",""col"":""1"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""32""}"
数据结构,vimrc,map,type hmap struct {,"{""buf"":""map.go"",""col"":""1"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""115""}"
数据结构,vimrc,slice,type slice struct {,"{""buf"":""slice.go"",""col"":""1"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""13""}"
数据结构,vimrc,string,type stringStruct struct {,"{""buf"":""string.go"",""col"":""5"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""218""}"
系统架构,vimrc,stackpool,var stackpool [_NumStackOrders]struct {,"{""buf"":""./stack.go"",""col"":""5"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""141""}"
系统架构,vimrc,rwmutex,type rwmutex struct {,"{""buf"":""rwmutex.go"",""col"":""1"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""18""}"
系统架构,vimrc,g,type g struct {,"{""buf"":""runtime2.go"",""col"":""1"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""395""}"
系统架构,vimrc,m,type m struct {,"{""buf"":""runtime2.go"",""col"":""1"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""473""}"
系统架构,vimrc,p,type p struct {,"{""buf"":""runtime2.go"",""col"":""1"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""552""}"
编译原理,vimrc,数据类型,"	kindBool = 1 + iota","{""buf"":""typekind.go"",""col"":""2"",""pwd"":""/home/shaoying/work/20200108-golang_story/usr/go/src/runtime"",""row"":""8""}"
